Nom du produit,Prix (EUR),Quantité,Catégorie
Ordinateur portable,899.99,15,Informatique
Smartphone,699.99,25,Téléphonie
Casque audio,129.99,50,Accessoires
Clavier mécanique,89.99,30,Périphériques
Écran LED,199.99,20,Informatique
Souris sans fil,49.99,40,Périphériques
Imprimante,149.99,10,Bureautique
Disque dur externe,79.99,35,Stockage
Webcam HD,39.99,50,Accessoires
Tablette graphique,129.99,25,Design
Support d'ordinateur portable,59.99,20,Accessoires
Enceintes Bluetooth,89.99,30,Audio
Chargeur universel,29.99,40,Accessoires
Projecteur portable,249.99,10,Informatique
Hub USB 3.0,19.99,50,Périphériques
Station d'accueil,129.99,15,Bureautique
Clé USB 128 Go,39.99,60,Stockage
Scanner portable,99.99,15,Bureautique
Câble HDMI 2m,14.99,70,Accessoires
Fauteuil ergonomique,299.99,8,Mobilier
Lampe de bureau LED,34.99,25,Accessoires
Sac à dos pour ordinateur,79.99,30,Accessoires
Support de moniteur,49.99,20,Bureautique
Tapis de souris XXL,24.99,35,Périphériques
Onduleur 1000VA,129.99,10,Bureautique
Router Wi-Fi,159.99,15,Informatique
Carte SD 256 Go,59.99,40,Stockage
Lecteur de cartes,24.99,50,Périphériques
Mini-clavier sans fil,34.99,30,Périphériques
Disque SSD interne 1 To,109.99,25,Stockage
Tablette 10 pouces,249.99,18,Informatique
Batterie externe 20000mAh,39.99,45,Accessoires
Support d'écran double,79.99,10,Bureautique
Imprimante 3D compacte,499.99,5,Informatique
Microphone USB,89.99,20,Audio
Caméra de sécurité Wi-Fi,59.99,25,Accessoires
Adaptateur USB-C multiport,44.99,50,Périphériques
Boîtier pour disque dur,19.99,35,Stockage
Ventilateur de bureau,24.99,15,Mobilier
Chargeur sans fil rapide,29.99,40,Accessoires
Switch réseau 8 ports,54.99,30,Informatique
Filtre de confidentialité pour écran,34.99,20,Accessoires
Lecteur Blu-ray externe,129.99,8,Périphériques
Mini PC,349.99,12,Informatique
Câble Ethernet 5m,9.99,60,Accessoires
Trolley pour matériel informatique,99.99,10,Mobilier
Powerline Ethernet Kit,79.99,15,Informatique
Bande LED RGB pour bureau,24.99,50,Accessoires
Station météo connectée,69.99,20,Informatique
Support mural pour TV,39.99,30,Accessoires
Chargeur de voiture USB-C,19.99,45,Accessoires
Haut-parleur Bluetooth étanche,49.99,25,Audio
Sacoche ordinateur portable,59.99,35,Accessoires
Clé USB 64 Go,19.99,50,Stockage
Écran de projection,89.99,10,Informatique
Adaptateur secteur pour PC portable,29.99,40,Accessoires
Kit d'éclairage LED pour caméra,79.99,10,Accessoires
Accessoire VR,99.99,12,Informatique
Alimentation secteur pour PC,59.99,20,Informatique
Tablette 8 pouces,169.99,30,Informatique
Clavier sans fil compact,49.99,50,Périphériques
Haut-parleur sans fil,79.99,15,Audio
Moniteur 27 pouces,229.99,10,Informatique
Enceintes 2.1,59.99,25,Audio
Chargeur solaire,39.99,50,Accessoires
Support de téléphone voiture,19.99,30,Accessoires
Écouteurs sans fil,89.99,40,Audio
Télécommande universelle,15.99,60,Accessoires
Kit de nettoyage pour PC,9.99,70,Accessoires
Boîte de rangement pour disques durs,12.99,50,Accessoires
Lunettes VR,149.99,8,Informatique
Support pour casque audio,19.99,40,Accessoires
Table de travail réglable,199.99,15,Mobilier
Imprimante photo portable,129.99,10,Bureautique
Lampe de lecture USB,14.99,60,Accessoires
Système de son surround,399.99,5,Audio
Clé USB 256 Go,69.99,30,Stockage
Disque SSD externe 500 Go,89.99,25,Stockage
Chargeur de bureau,39.99,50,Accessoires
Câble d'alimentation pour PC,14.99,40,Accessoires
Clé HDMI sans fil,29.99,35,Accessoires
Câble Lightning pour iPhone,19.99,50,Accessoires
Haut-parleur intelligent,99.99,25,Audio
Hub USB-C pour MacBook,49.99,30,Périphériques
Batterie pour téléphone,29.99,40,Accessoires
Câble USB pour téléphone,9.99,60,Accessoires
Casque gaming,79.99,20,Accessoires
Microphone pour podcast,149.99,12,Audio
Station de charge multiple,89.99,15,Accessoires
Système d'alarme domestique,199.99,10,Accessoires
Enceintes d'extérieur,129.99,25,Audio
Cartes mémoire SD 32 Go,19.99,50,Stockage
Enregistreur vidéo numérique,129.99,10,Informatique
Tablette de dessin numérique,199.99,15,Design
Écran incurvé 32 pouces,329.99,5,Informatique
Casque anti-bruit,129.99,20,Accessoires
Chargeur d'ordinateur portable 65W,39.99,40,Accessoires
